date,time,title,sentiment,label
27-Nov-25,09:12:16,เกาหลีใต้คว่ำบาตร ปรินซ์กรุ๊ป พร้อมกับ ‘บุคคล-นิติบุคคล’ กว่าร้อย เอี่ยวอาชญากรรมออนไลน์ - มติชนออนไลน์,0.0,neutral
27-Nov-25,23:21:00,เกาหลีใต้จัดให้แบบจุกๆ!คว่ำบาตรครั้งใหญ่สุดเครือข่ายสแกมเขมร โดนรวด'132องค์กร-15บุคคล'รวม'ปรินซ์กรุ๊ป-ฮุยวันกรุ๊ป' - ผู้จัดการออนไลน์,0.0,neutral
28-Nov-25,04:52:50,PRINC Group จัดใหญ่! “PRINC GROUP GIFT” มหกรรมสุขภาพ ลดสูงสุดกว่า 70% มอบของขวัญสุขภาพส่งท้ายปี - มิติหุ้น,-0.6,negative
20-Oct-25,07:00:00,ปริ้นซ์ อินเตอร์เนชั่นแนล ในไทย เกี่ยวข้องหรือไม่กับปรินซ์กรุ๊ปของ เฉิน จื้อ - BBC,0.0,neutral
23-Nov-25,06:39:00,สิงคโปร์บุกจับบริษัทสินเชื่อรถยนต์ เชื่อมโยง “ปรินซ์กรุ๊ป” - pptvhd36,0.0,neutral
28-Nov-25,04:09:28,เกาหลีใต้ออกมาตรการคว่ำบาตร 132 นิติบุคคลเอี่ยวสแกมเมอร์ ปรินซ์กรุ๊ป-ฮุยหยวนโดนด้วย - สำนักข่าวอิศรา,0.0,neutral
28-Nov-25,01:43:00,"เกาหลีใต้คว่ำบาตร ""ปรินซ์ โฮลดิง กรุ๊ป"" ฐานเป็นองค์กรอาชญากรรมข้ามชาติ - เดลินิวส์",0.0,neutral
17-Oct-25,06:46:52,สรุปข้อกล่าวหาที่ทางการสหรัฐฯ มีต่อ ‘ปรินซ์กรุ๊ป’ และการเปิดโปงสายสัมพันธ์ที่มีกับผู้นำกัมพูชา - The MATTER,0.0,neutral
28-Nov-25,00:57:22,เกาหลีใต้คว่ำบาตร 132 องค์กร พัวพันแก๊งสแกมเมอร์ในเอเชียตะวันออกเฉียงใต้ - CH3Plus.com,0.0,neutral
27-Nov-25,22:56:11,เกาหลีใต้คว่ำบาตรบุคคล กลุ่มสแกมเมอร์ในเอเชียตะวันออกเฉียงใต้ - JS100.com,0.0,neutral
12-Nov-25,08:00:00,"""Prince Group"" กัมพูชา ปฏิเสธเอี่ยวสแกมเมอร์ หลังถูกยึดทรัพย์สินกว่า 4 แสนล้านทั่วโลก - Thairath",0.0,neutral
17-Nov-25,08:00:00,เผยอีกปรินซ์กรุ๊ปจัดตั้ง 3 บริษัทในญี่ปุ่น-ส่อเป็นแหล่งฟอกเงินจากธุรกิจผิดกฎหมาย | Khaosod - LINE TODAY,-0.9,negative
16-Oct-25,07:00:00,ผ่า ‘ปรินซ์กรุ๊ป’ สหรัฐโยง ‘สแกมเมอร์’ ใช้ที่อยู่ตึก ‘ซิโน-ไทย’ - bangkokbiznews,0.0,neutral
18-Nov-25,06:59:49,สื่อนอกตีข่าว ปรินซ์กรุ๊ป เปิด 3 บริษัทลูกในญี่ปุ่น ตั้งแต่ปี 2022 - มติชนออนไลน์,0.0,neutral
03-Nov-25,08:00:00,เกาหลีใต้เริ่มตรวจสอบสำนักงาน “ปรินซ์กรุ๊ป” ในกรุงโซลแล้ว - pptvhd36,0.0,neutral
24-Nov-25,07:04:07,"""ตร.สิงคโปร์"" บุกบริษัทสินเชื่อรถยนต์ จับกุมเจ้าของบริษัท พบเชื่อมโยง “ปรินซ์กรุ๊ป” - topnews.co.th",0.0,neutral
25-Nov-25,02:38:09,ส่องคดีทุจริตโลก:ประมวลความเคลื่อนไหวนานาชาติ เดินหน้ายึดทรัพย์ปริ๊นซ์กรุ๊ป 2.2 หมื่น ล. - สำนักข่าวอิศรา,-0.9,negative
05-Nov-25,08:00:00,ฮ่องกงอายัดทรัพย์ “เฉิน จื้อ-ปรินซ์กรุ๊ป” กว่า 1.15 หมื่นล้านบาท - pptvhd36,0.0,neutral
20-Oct-25,07:00:00,"แฉกลุ่มธุรกิจ ""ปรินซ์ กรุ๊ป"" ซุกเงินกว่า 9 หมื่นล้านวอน ในธนาคารเกาหลีใต้สาขากัมพูชา - Thairath",0.0,neutral
19-Nov-25,06:06:00,ต่างประเทศ - สื่อญี่ปุ่นรับไม้ต่อ! แฉปรินซ์กรุ๊ปตั้งบริษัทลูก3แห่ง ใช้เป็นแหล่งฟอกเงินธุรกิจสีเทา - แนวหน้า,-0.9,negative
